unique_id,metric,Naive,WindowAverage,RWD,AutoARIMA,AutoETS,SeasonalNaive,SeasWA,Best-Fit,Equal-All,Equal-Best3,InverseMSE,InverseMSE-Best3
store_84,mse,152580990.2777778,93427730.13541667,175238706.50004134,5212720.984683318,93909370.62458819,105785344.81944445,,5212720.984683318,137668028.46462467,47429151.465643294,9942732.089468265,7365001.185738234
store_85,mse,166379673.95833334,93284254.078125,196543651.14940324,6112616.656544374,89955681.87156472,98388209.83333333,,6112616.656544374,142579819.77413386,46100110.667245775,10779712.244220084,8308123.025138257
store_86,mse,182506721.83333334,121632577.28125,204504330.60369742,6643000.884154475,119399989.8366221,118861251.22222222,,6643000.884154475,157873648.3567619,47348791.67665951,12049857.91552085,8081381.155657913
store_87,mse,102711139.77777778,57835453.012152776,120446866.42241113,1589014.5368374127,56372154.45465309,72221268.93055555,,1589014.5368374127,69295172.19469917,26532354.75536755,2126142.9585568057,1828711.8473895167
store_88,mse,233993922.54166666,131309099.80034722,271009657.6668446,2524053.730492934,131966833.4017462,156562108.1527778,,2524053.730492934,133795948.6433901,60681830.8015202,3241534.237906317,2889712.9027739707
store_89,mse,182676249.1527778,133978530.48784722,199115343.15375122,7578488.9756549485,138398780.7231445,140979976.33333334,,7578488.9756549485,176361067.079388,70082306.28847285,16500213.408006307,11485998.856080862
store_9,mse,62175454.86111111,34100934.458333336,73351237.05609798,1352778.0793962162,32971057.071126223,38098645.19444445,,1352778.0793962162,50910412.38501705,16442744.198967133,2265890.8294569515,1798472.7797166558
store_90,mse,217518889.20833334,138421822.25,250405086.03672463,6080640.69359502,129851649.52925617,136690651.8472222,,6080640.69359502,185269680.53112373,53657318.89049545,10734944.631622087,7662544.739056309
store_91,mse,83200227.54166667,50706584.505208336,93861971.18063161,3897430.2331561125,51993900.1488133,67287085.44444445,,3897430.2331561125,100852550.78573531,26072125.897710428,7772804.25919481,5438056.296267607
store_92,mse,77443471.93055555,55563088.44618055,88444268.61642307,3234390.2363575934,51775169.48884206,53604587.30555555,,3234390.2363575934,68964227.25539742,22071536.943015866,6347254.404978304,4290004.976860717
store_93,mse,82624237.04166667,43047384.46701389,98793686.8649289,2474668.215464445,42845085.81880422,49417857.05555555,,2474668.215464445,78710394.54394156,21124968.692465447,3995350.7558151195,3221731.2650904707
